airline_name_norm,fleet_size
21 air,2
247 aviation,4
2excel aviation,24
30 west jets,1
4airways,3
748 air services,7
7air cargo,3
9 air,27
abakan air,5
abu dhabi aviation,14
abx air,11
acass ireland,2
advanced air,23
advanced flight training,5
aegean airlines,68
aegean executive,2
aer lingus,80
aercaribe cargo,4
aero,12
aero asahi,39
aero charter,13
aero charter and transport,2
aero clube de coimbra,1
aero coatl mexicano,1
aero dili,2
aero k,7
aero mongolia,5
aero nomad,2
aero sotravia,5
aero tak,1
aero ways,6
aerobeta flight training,12
aeroclub barcelonasabadell,14
aerodienst,5
aerodynamics academy,17
aeroflot,169
aeroguard flight training center,113
aeroitalia,13
aerolineas argentinas,84
aerolineas ejecutivas,26
aerolineas sosa,4
aerologic,14
aeromas,2
aeromexico,125
aeromexico connect,36
aeronaves tsm,97
aeropapa,1
aeropartner,9
aeropyrenees,13
aeroregional,4
aerosafin,3
aeroservicios de la costa,8
aerostan,3
aerosucre,7
aerotec,13
aerotech services,4
aerotours,3
aerotranscargo,3
aeroturpial,2
aerovias dap,11
aerovis airlines,1
aeroways,11
aerowest,13
aerus,7
africa airlines,2
africa charter airline,6
africa world airlines,8
african express airways,2
afrijet,5
afriqiyah airways,9
aims community college aviation,18
air 1st aviation,2
air adelphi,5
air albania,1
air algerie,56
air alliance,8
air alsie,4
air antilles,5
air arabia,77
air astana,34
air astra,4
air atlanta icelandic,1
air austral,7
air baltic,50
air bohemia,4
air borealis,9
air botswana,6
air burkina,3
air busan,21
air cairo,37
air caledonie,4
air cambodia,6
air canada,319
air canada rouge,37
air caraibes,13
air care alliance,8
air cargo carriers,30
air central,15
air century,7
air changan,14
air charter scotland,10
air charter scotland europe,1
air charters europe,4
air chathams,16
air china,507
air china cargo,25
air china inner mongolia,9
air class,4
air corporate,14
air corsica,13
air cote divoire,12
air creebec,21
air do,13
air dolomiti,26
air dream college,10
air eagle,1
air europa,58
air excel,1
air falcon,1
air flamenco,13
air france,279
air greenland,23
air guilin,9
air horizont,6
air incheon,6
air india,191
air india express,114
air inuit,36
air japan,2
air key west,3
air kiribati,10
air koryo,18
air liaison,26
air libya,16
air loyaute,5
air macau,44
air manas,2
air mauritius,24
air mediterranean,4
air methods,23
air moana,6
air montenegro,6
air mountain,2
air new zealand,226
air niugini,58
air north,22
air nunavut,30
air ocean maroc,6
air panama,10
air peace,44
air premia,16
air rarotonga,6
air safaris,6
air saintpierre,1
air samarkand,6
air senegal,18
air seoul,12
air seychelles,14
air spray,46
air sunshine,8
air tahiti,24
air tahiti nui,8
air tanzania,34
air taxi charter international,1
air tetiaroa,7
air thanlwin,8
air tindi,14
air transat,86
air transport europe,10
air transport international,20
air travel,32
air txt,1
air urga,8
air vanuatu,6
air volta,4
air wisconsin,6
air zimbabwe,4
air1air,2
air65 aviation,1
airact,4
airasia,452
airasia x,50
airblue,24
airborne imaging,4
airbus,1778
airbus transport international,22
aircalin,12
aircharters worldwide,2
aircraft management group,15
airest,12
airexplore,16
airfast indonesia,20
airglaciers,24
airgo private airline,3
airhaifa,3
airhub airlines,2
airjet,2
airkenya express,5
airlec air espace,16
airlift,10
airlink,161
airmaster,2
airnet,40
airnorth,26
airone,1
airpac airlines,16
airquest aviation,2
airserbia,58
airsf flight services,9
airshare,140
airsial,14
airsmart,16
airsprint,80
airstar charter,3
airstream,4
airswift,10
airtanker,4
airtask,3
airtaxi europe,4
airtraffic,4
airwork,10
airx,38
ais airlines,14
aitheras aviation group,9
ajet,90
akasa air,60
aladdin jet,1
alaman air,2
alante air charter,5
alaska airlines,664
alaska central express,38
albastar,10
albatros airlines,1
albinati aeronautics,2
albinati aviation,2
alexandria airlines,1
alfa airlines,2
alhaya aviation,1
alidaunia,9
aliserio,22
alk airlines,1
alkan air,42
all nippon airways,494
allegiant air,262
alliance air,44
alliance airlines,90
alliance executive jets,4
allied air,4
almasria universal airlines,16
aloha air cargo,18
alpavia,2
alpha aviation,42
alpha three aviation,1
alphaland aviation,2
alphasky,3
alpine air express,152
alpine flightservice,4
alrosa,10
altagna,2
altair airlines,1
altius aviation,4
amakusa airlines,1
amc airlines,6
amc aviation,34
amelia,40
american air charter,8
american airlines,3196
american jet,6
american jet international,20
ameriflight,264
amerijet international,24
ameristar,12
anap jets,7
andes lineas aereas,8
angara airlines,4
anguilla air services,12
animawings,4
antonov airlines,14
apg airlines,2
arab wings,5
arajet,20
arc en ciel,4
arcus air,18
argentina air force,61
ariana afghan airlines,12
arik air,18
arirang aviation,2
arkhangelsk airlines,3
arkia israeli airlines,12
arm aviacion,7
armenia airways,6
arrow aviation,4
aruba airlines,2
ascend airways,8
asg business aviation,7
asia cargo airlines,2
asia pacific airlines,10
asia union airlines,2
asian express airlines,1
asian express general aviation wuxi,4
asiana airlines,164
asky airlines,34
asl airlines,156
asman airlines,1
aspen helicopters,15
asta linhas aereas,3
astonfly,17
astonjet,16
astral aviation,12
ata airlines,32
ati jet,21
atlanta air charter,3
atlantic airways,12
atlantic flight training academy,19
atlas air,137
atlas air service,20
atm information service japan,4
atmospherica aviation,6
atp flight school,4
atr,71
atran,6
atsa airlines,9
auckland rescue helicopter,4
auric air,25
aurigny air services,14
aurora,38
aurora flight sciences,4
australia customs,1
australia federal police,1
australia royal australian air force,322
austria air force,10
austrian airlines,136
av8jet,4
ava airlines,4
avalair aircraft management,22
avanti air,4
avcenter,5
avcon jet,22
avelo airlines,38
avia traffic,12
aviacon zitotrans,10
avianca,151
avianca cargo,8
aviaservice,5
aviastar,1
aviastartu,16
aviation adventures,54
aviation advisor,32
aviation defense service,5
aviation horizons,5
aviation services management,2
aviator college,54
aviator zone academy,16
aviators5,2
aviatsa,1
avincis,206
avion express,20
avionco,1
avionord,7
avior airlines,12
aviostart,3
awa,15
awesome cargo,3
axio,6
axis aviation,7
ayit aviation,3
azerbaijan airlines,33
azimuth,40
azman air,10
azores airlines,20
aztec airways,26
azul,418
azul conecta,1
azur air,40
azure aviation,2
baa training,7
babcock,102
baden aircraft operations,1
badr airlines,16
bae systems,3
bahamasair,20
bahrain royal flight,8
bairline,6
baker aviation,42
bamboo airways,12
bangkok airways,52
bankair,5
bar xh air,2
bartolini air,31
bassaka air,4
batik air,208
bbn airlines,6
bbn airlines indonesia,10
beijing airlines,7
bel air aviation,6
belavia,28
belgium air force,60
belgium navy,3
bell helicopter,91
bellair,10
bemidji aviation,86
benin airlines,2
beond,4
bering air,80
berjaya air,2
bermudair,8
berniq airways,14
berry aviation,40
best jets international,2
bestfly aruba,24
bh air,2
bhutan airlines,2
big bend community college aviation,35
bighorn airways,24
biman bangladesh airlines,42
binair,8
binter canarias,88
bioflight,24
birdbase aviation,2
blessings aviation charter,8
blue dart aviation,10
blue islands,10
blue square aviation,1
bluebird airways,8
bluebird aviation,7
bluesky airways,3
boeing,668
boliviana de aviacion,52
bookajet,1
boutique air,28
bra,34
braspress air cargo,2
bravo airways,4
brazil air force,504
brazil army,5
brazil navy,6
breeze airways,108
bridger aerospace,17
brilliant jet,1
bristow helicopters,226
bristow nigeria,6
british airways,610
british international helicopters,5
bromma air maintenance,4
brussels airlines,96
budapest aircraft service,3
buddha air,38
buffalo airways,114
buffalo river aviation,3
bul air,16
bulgaria air,28
bulgaria air force,21
bulgaria government,1
buraq air,10
business aviation asia,7
business wings,8
buzz,24
bysky,3
caa,10
cabo verde airlines,4
cae,236
cae aviation,2
caicos express airways,16
calm air,12
calstar,28
camairco,10
cambodia airways,12
camex airlines,6
canada coast guard,26
canada department of transport,37
canada ontario ministry of natural resources,25
canada royal canadian air force,314
canada royal canadian mounted police,1
canada saskatchewan air ambulance service,4
canadian airways congo,3
canadian north,66
canaryfly,12
canavia,12
canlink aviation,59
canwest air,38
cape air,103
capital air ambulance,4
capital airlines,176
capital city air carriers,3
cardig air,2
careflight,32
cargo air,22
cargojet airways,80
cargolux,60
caribbean airlines,40
carpatair,6
carson air,44
caspian airlines,22
castle aviation,40
cathay pacific,358
catreus,5
cavok air,10
cayman airways,18
cb skyshare,10
cebu pacific,184
ceiba intercontinental,6
cemair,42
central air southwest,27
central airlines,18
central mountain air,27
centreline,10
chabahar airlines,6
chair airlines,8
chalair aviation,22
challenge airlines be,20
charter airlines,9
charter jets,8
chartright air,42
chc helicopter,182
chengdu airlines,164
chevron usa,11
chicago jet group,4
china air force,16
china airlines,170
china cargo airlines,34
china civil aviation administration,20
china eastern airlines,1342
china express airlines,156
china flight general aviation company,2
china postal airlines,78
china southern airlines,1362
china southern airlines general aviation,6
china southern cargo,22
china united airlines,59
chodang university,13
chongqing airlines,72
chrono aviation,20
chrono jet,6
citic offshore helicopter,62
citilink,118
cityjet,16
civil air patrol,1318
civil aviation flight university of china,78
class aviation,1
clay lacy aviation,1
clic,40
clipperjet,1
cm airlines,1
cma cgm air cargo,10
coastal aviation,18
colombia air force,124
colorful guizhou airlines,40
colorful yunnan airlines,1
comlux,12
commuteair,2
compagnia aeronautica italiana,1
compass air cargo,14
conair,75
condor,70
conocophillips,6
conquest air,4
constanta airline,2
contour aviation,88
conviasa,48
copa airlines,212
copenhagen airtaxi,12
corendon airlines,64
corporate air,1
corporate jet,2
corsair,20
costa rica green airways,10
costa rica ministry of public security,10
coulson aviation,15
cranfield flight training,5
croatia air force,19
croatia airlines,32
cronos airlines,4
cronos airlines benin,1
cross aviation,3
crown airlines,1
crystal air,6
ctp aviation,6
cubana,18
cygnus air,10
cyprus airways,12
czechia air force,42
daallo airlines,8
dalian airlines,26
dan air,6
dana air,14
das private jets,10
dassault falcon service,8
dat,46
db aviation,4
de havilland canada,23
dea aviation,3
deer jet,30
deer jet beijing,7
delta air lines,2606
delta state university aviation,28
desert jet,3
dexter air taxi,5
dhl air,462
diamond sky,5
digajet,4
direct2,1
discover airlines,60
divi divi air,10
dokia air,1
donghai airlines,48
dornier aviation nigeria aiep,4
dragonfly executive,4
draken europe,29
dreamline aviation,22
drf luftrettung,108
druk air,14
eads casa,41
eagle air iceland,6
eagle creek aviation,4
eaglemed,17
eas barcelona,17
east coast flight services,2
east coast jets,5
east wing,2
eastar jet,15
eastern air express,23
eastern airlines,4
eastern airways,38
easy charter,1
easyjet,716
eatis,2
eaviation,8
ec charter,3
ecargo airlines,1
ecojet,8
ecuador air force,22
edelweiss air,42
egt jet,6
egypt air force,56
egyptair,134
egyptair cargo,10
eis aircraft,12
ejm europe,18
el al,90
elan express,1
elangeni,6
electra airways,14
elemental aviation,2
elifriulia,17
elilombarda,5
elin group,1
eliossola,6
elitaliana,12
elite air,26
elitellina,5
elvetia aviation,1
embraer,298
embryriddle aeronautical university,244
emirates,538
emirates flight training academy,30
emperor aviation,8
empire aviation,6
enac ecole aviation civile,180
encore air cargo,15
eng aviation,3
enter air,70
epic flight academy,49
epsilon aviation,4
era helicopters,59
es air,12
estafeta carga aerea,12
estelar,8
estonia air force,4
eswatini air,2
etf airways,1
ethiopian airlines,286
etihad airways,206
euro link,8
euroasia air,5
euroatlantic airways,10
euroavia airlines,1
eurocopter deutschland,252
european air charter,12
european aircraft private club,10
european cargo,18
european flight academy,48
european flight service,8
european flyers,14
eurowings,248
eva air,180
everett aviation,3
everts air alaska,64
ewa air,4
excelaire,1
excellent air,24
exclusive aviation,1
execuflight,1
execujet middle east,4
executive airlink,1
executive aviation corporation,4
executive aviation services,2
executive fliteways,12
executive jet charter,1
executive jet management,152
express air cargo,6
exxaero,4
eznis airways,2
ezy airlines,1
fai rentajet,50
fairoaks flight centre,5
falcon aviation services,22
falcon luxe,1
fanjet express,2
farmingdale state university aviation,17
fast air,11
fastjet,10
federal airlines,11
fedex,1396
fenix air charter,12
feuerwehrflugdienst niedersachsen,4
ffl flugschule,12
fiji airways,23
finistair,1
finland air force,66
finnair,160
finnhems,8
fireblade aviation,2
firefly,28
fitsair,6
flair airlines,40
fleet air international,24
flexflight,6
flexjet,618
flight calibration services,15
flight fast track,10
flight options,10
flight training europe,29
flightline,12
flightlink,8
flightpath charter airways,13
flightstar,1
flightworks,2
florida air cargo,5
florida flyers flight academy,13
florida tech college of aeronautics,47
fltplan,16
fly 7,40
fly across,16
fly alliance,15
fly allways,6
fly als,4
fly angola,2
fly away,2
fly baghdad,14
fly cham,4
fly jetkz,6
fly jinnah,12
fly khiva,3
fly oya,6
fly pro,3
fly sky airlines,4
fly tyrol,12
fly us,1
fly vaayu,2
fly2sky,11
fly4 airlines,4
fly540,3
fly91,3
flyadeal,90
flyarystan,54
flybig,8
flybondi,28
flyby,28
flycom aviation,1
flycoop air service,28
flydubai,182
flyerbil airline,2
flyexclusive,230
flygta airlines,8
flylili,6
flyme,4
flymontserrat,2
flynamibia,6
flynas,136
flyone,32
flysafair,76
flyschool,16
flywales,5
flyyo,3
fort aero,1
four corners aviation,5
fox aviation,3
france air force,32
france air forces command,12
france army,1
france navy,10
france securite civile,13
franconia air service,1
freebird airlines,34
freedom air,1
freedom airline express,11
freight runners express,30
french bee,12
frontier airlines,328
frost,4
fsh aviation,3
ftl airlines,1
fuji dream airlines,32
fuzhou airlines,32
gad flights,2
gainjet,5
galistair infinite aviation,2
gama aviation,32
garmin,8
garuda indonesia,74
gazpromavia,78
gelix airlines,4
general atomic aerotech systems,2
genex,2
genghis khan airlines,7
georgian airlines,10
georgian airways,20
georgian aviation university,1
geosky,10
german airways,18
germany air ambulance,68
germany air force,224
germany army,34
germany dlr flugbetriebe,10
germany navy,13
gesellschaft fur flugzieldarstellung,16
gestair,40
getjet airlines,32
ghadames air transport,1
glencore canada,2
global air charters,2
global air transport,3
global aviation,8
global jet luxembourg,15
global reach aviation,2
globalx,16
globeair,40
glock aviation,1
go2sky,6
gol linhas aereas,250
goldeckflug,2
goodjet,4
gouvernement du quebec,19
gp aviation,3
grafair,3
grand canyon airlines,20
grand china air,6
grant aviation,28
greater bay airlines,14
greece air force,49
greece army,1
green africa,6
greybird aviation,11
gryphon air,1
gta air,17
guardian air,3
gulf air,86
gulf wings,3
gulfstream aerospace,336
gullivair,2
gum air,9
guna airlines,14
gx airlines,42
hahn air,4
hai au aviation,5
hainan airlines,448
hainan lily jet,1
hala air,1
hanseo university flight education center,9
harco aviation,5
harmony jets,8
haute aviation,1
hawaiian airlines,130
hayways,1
hebei airlines,56
heli air monaco,1
heli air services,4
heli holland,32
heli securite,2
heli service international,20
helibravo,2
helicol,6
helidubai,5
helijet international,14
heliservicio,9
helistar,24
heliteam,6
helitrans,50
helity copter airlines,4
heliunion,7
hellojets,8
helsinki citycopter,3
helvetic airways,44
hera flight,30
heron aviation,16
heston airlines,20
hi fly,26
himalaya airlines,8
hinterland aviation,32
hisky,8
hk express,41
hokkaido air system,4
honeywell international,2
hong kong air cargo,10
hong kong airlines,56
hopajet,14
hoper,5
hoverfly,3
htm helicopter travel munich,30
hubei skyblue international aviation academy,3
hummingbird aviation,3
hungary air force,7
hungary airlines,1
hunnu air,12
hydroquebec,8
hyperion aviation,14
ias medical,7
iasco flight training,24
ibc airways,30
iberia,274
iberia express,29
iberojet,8
ibex airlines,18
ibom air,14
icar air,2
icelandair,92
icsaero,2
ifa instituto de formacao aeronautica,16
ifl group,44
ifly,12
ifly air,3
ikar,16
image air charter,1
imperialjet,1
india air force,276
indiana state university flight academy,14
indiaone air,4
indigo,816
initium aviation,4
inner mongolia northern express,1
intel air shuttle,4
intercaribbean airways,42
interjet west,1
international committee of the red cross,1
international jet,6
international jet management,22
iraero,9
iran air,32
iran airtour,34
iran aseman airlines,32
iraq gate company,5
iraqi airways,56
island aviation,2
island wings charter,2
israir airlines,16
ita airways,204
italfly,22
italy air force,206
italy army,37
italy coast guard,20
italy navy,36
ixair,4
izhavia,14
j d aviation,2
jambojet,18
japan air commuter,22
japan airlines,302
japan transocean air,38
jayawijaya dirgantara,1
jazeera airways,23
jdl airlines,10
jeju air,86
jet access,3
jet air group,3
jet aviation business jets,6
jet aviation business jets deutschland,1
jet aviation flight services,8
jet concierge club,1
jet edge,12
jet executive,8
jet fly airline,3
jet it,16
